code,NAME,DATE,TYPE,TITLE,DURATION,LINK,ENG SUB,MEMBERS,KEYWORDS,TAG,ERA,SEASON,EPISODE,SOURCE,NOTES,ALT LINKS
2404050,2024.04.24 [SIGNAL LIVE] HaYeon,2024-04-24,LIVE,[ENG SUB] tripleS SIGNAL LIVE 240424 (Hayeon) 트리플에스 Sensational Self-Love,0:43:55,https://youtu.be/KDrds4GnaUI,YES,Hayeon,"SIGNAL LIVE,fan-subbed","livestream,official,youtube",ASSEMBLE24,Cream01,,MangoNim,HaYeon’s 1st solo LIVE,
2404051,2024.04.25 [SIGNAL],2024-04-25,SIGNAL,Episodes in Dubai (feat. Camels and the desert) | EN | SIGNAL 240425,0:08:47,https://youtu.be/jclQR6kzYB0,YES,"Kaede,Kotone,Yooyeon,Yubin","airport,desert,dubai,event,sightseeing,travel,yacht","official,youtube",ASSEMBLE24,Cream01,SIGNAL 508,tripleS official,,
2404052,"2024.04.25 [SIGNAL LIVE] HyeRin, SooMin, YeonJi",2024-04-25,LIVE,"[ENG SUB] tripleS Weibo SIGNAL LIVE 240425 (Hyerin, Soomin, Yeonji) 트리플에스",1:01:12,https://youtu.be/ov9CZtcCrNA,YES,"Hyerin,Soomin,Yeonji","SIGNAL LIVE,Weibo,chinese,fan-subbed","livestream,official,youtube",ASSEMBLE24,Cream01,,MangoNim,HyeRin does her first Weibo LIVE with YeonJi and SooMin,
2404053,2024.04.26 [SIGNAL],2024-04-26,SIGNAL,Smart Girl: Board Game War! Who will be the final winner? | EN | SIGNAL 240426,0:11:19,https://youtu.be/_ddwqAU55BE,YES,"Jiyeon,Joobin,Kotone,Seoah","cream office,games,hanging out","official,youtube",ASSEMBLE24,Cream01,SIGNAL 509,tripleS official,,
2404054,"2024.04.27 [SHORTS] How have you been, WAV?",2024-04-27,Shorts,"How Have You Been, WAV? 😌🤙 #tripleS #트리플에스 #소현 #SoHyun",0:00:19,https://youtu.be/VUFZzgtv9jA,,Sohyun,"shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404055,2024.04.27 [SHORTS] Nien & Mayu are BFFs,2024-04-27,Shorts,Nien & Mayu are BFFs 🤼‍♀️🤙 #tripleS #트리플에스 #니엔 #Nien #마유 #Mayu,0:00:17,https://youtu.be/08yOQdjzA5U,,"Mayu,Nien","shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404056,2024.04.27 [WEB DRAMA] What's Up Ep.4,2024-04-27,Drama,맞다이로 들어와 [요즘 뭐해] Ep.4 (SUB),0:07:21,https://youtu.be/a5XKsjM7x_A,YES,Yooyeon,web drama,"drama,youtube",ASSEMBLE24,Cream01,4,MEME STUDIO,,
2404057,2024.04.28 [SecretBase] KwakYeonJi,2024-04-28,SecretBase,SecretBase 240329 KwakYeonJi.SSS [ EN ],0:02:35,https://youtu.be/WwTy2DxxyWE,YES,Yeonji,self-cam,"official,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404058,2024.04.29 [LIVE] Weekly Idol EP. 662 (Pre-Broadcast Livestream),2024-04-29,Variety,[4K] 주간아이돌 🔴LIVE | 모여봐요 준이의 숲 with 트리플에스(tripleS),0:13:03,https://youtu.be/zRda_kCB4Mo,NO,"Chaewon,Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Jiyeon,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoah,Seoyeon,Shion,Sohyun,Soomin,Sullin,Xinyu,Yeonji,Yooyeon,Yubin","live,weekly idol","livestream,variety,youtube",ASSEMBLE24,Cream01,,IDOL CHAMP,,
2404059,2024.04.29 [SIGNAL],2024-04-29,SIGNAL,Our favorite Bookmarks are WAV! | EN | SIGNAL 240429,0:04:22,https://youtu.be/kIj4dJ6Eq3E,YES,"Jiyeon,Joobin,Kotone,Seoah","cosmo app,cream office","official,youtube",ASSEMBLE24,Cream01,SIGNAL 510,tripleS official,,
2404060,2024.04.30 [SHORTS] ‘Misfit’ Challenge,2024-04-30,Shorts,Up in the sky with Kotone😎 #tripleS #트리플에스 #코토네 #Kotone,0:00:21,https://youtu.be/IxZPSzwXXjs,,Kotone,"dance challenge,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404061,2024.04.30 [SHORTS] ‘Hot in Here’ Challenge,2024-04-30,Shorts,It's getting HOT 🥵🤟#tripleS #트리플에스 #니엔 #Nien#린 #Lynn,0:00:23,https://youtu.be/gnQMEPWreIg,,"Lynn,Nien","dance challenge,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2405001,2024.05.01 [SIGNAL],2024-05-01,SIGNAL,"Met you in China, WAV! See you again~ | EN | SIGNAL 240501",0:04:22,https://youtu.be/IOmwRtShZF0,YES,Xinyu,"airport,china,eating,fansign,hotpot,travel","official,youtube",ASSEMBLE24,Cream01,SIGNAL 511,tripleS official,,
2405002,"2024.05.01 [SIGNAL LIVE] SeoYeon, Kotone, ChaeWon",2024-05-01,LIVE,"[ENG SUB] tripleS 2nd Anniversary SIGNAL LIVE 240501 (Seoyeon, Kotone, Chaewon) 트리플에스 triple1z",1:10:58,https://youtu.be/RaFcFi8Gl-E,YES,"Chaewon,Kotone,Seoyeon","SIGNAL LIVE,fan-subbed","livestream,official,youtube",ASSEMBLE24,Cream01,,MangoNim,Celebrating tripleS’s 2nd Anniversary by looking at 24 member’s fave signal moments,
